region_id,coord_x,coord_y,region_type,broadband,population,patents
0,0.3745401188473625,0.9507143064099162,0,0.634273656237994,337874,2476
1,0.7319939418114051,0.5986584841970366,0,0.5768703435223519,95926,386
2,0.15601864044243652,0.15599452033620265,0,0.5397792608821422,345143,1655
3,0.05808361216819946,0.8661761457749352,1,0.7451090254244719,31548,146
4,0.6011150117432088,0.7080725777960455,1,0.454165152430942,23575,94
5,0.020584494295802447,0.9699098521619943,0,0.5078722458080425,105835,460
6,0.8324426408004217,0.21233911067827616,1,0.3287330051987944,13474,15
7,0.18182496720710062,0.18340450985343382,1,0.3107586751838659,17511,54
8,0.3042422429595377,0.5247564316322378,0,0.2473919689274532,20129,64
9,0.43194501864211576,0.2912291401980419,1,0.8212480057141647,7907,56
10,0.6118528947223795,0.13949386065204183,0,0.5229835439167366,131359,593
11,0.29214464853521815,0.3663618432936917,1,0.7507065795784049,26442,177
12,0.45606998421703593,0.7851759613930136,0,0.7223352577681735,65211,585
13,0.19967378215835974,0.5142344384136116,1,0.4209760490789752,18690,91
14,0.5924145688620425,0.046450412719997725,1,0.6222791211016828,8178,36
